0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-0.45784572,-0.22706853,0.033013623,-0.15577637,-0.13192354,-0.20955762,-0.54943347,0.29170623,-0.13163318,-0.11468523,-0.13743208,-0.11304927,-0.090872526,0.91606134,1.0
-0.18879296,0.5043753,0.6722186,-0.13420045,-0.15386046,0.18792763,-0.6263324,0.2556444,-0.1316056,-0.114671715,-0.13739386,-0.11303676,-0.09087167,2.232495,1.0
-0.32742354,0.35745773,0.1436265,-0.26168555,-0.157442,0.9584375,0.4327148,0.9103547,-0.13129291,-0.114514,-0.13694681,-0.112889856,-0.090864815,-0.40483034,1.0
2.254571,0.19345717,-2.4747393,1.9627428,-0.059240613,-0.6906695,-1.2788222,-1.1807725,-0.13267995,-0.1152195,-0.13892858,-0.113542445,-0.090896666,-0.48405558,0.0
-0.2827334,0.5836423,0.03986571,-0.15991423,-0.051338885,-0.39301234,-0.5413388,0.46687678,-0.1313021,-0.1145185,-0.13696401,-0.11289511,-0.09086567,0.45541084,1.0
-0.30188632,0.099839844,0.91595805,-0.23075022,-0.157442,0.45087942,0.06575832,0.62098837,-0.1331414,-0.115451306,-0.13958329,-0.113758296,-0.09090676,0.08499919,1.0
-0.2845575,0.64172584,0.12111243,-0.16552986,-0.049100425,-0.39606994,-0.5157058,0.45935243,-0.13110898,-0.11441936,-0.13668126,-0.1128023,-0.09086054,0.41501948,1.0
2.2272096,-0.37442756,-0.43697128,-0.25870278,-0.13726881,-0.40787923,1.11806,-0.7135287,-0.1310163,-0.114369445,-0.13654758,-0.1127582,-0.09085864,-0.9960423,0.0
-0.34657645,0.2265954,0.0866608,-0.26464117,-0.157442,0.8563371,0.41078922,0.8595653,-0.132337,-0.11504363,-0.13843681,-0.113380335,-0.090888605,-0.7525523,0.0
-0.3520487,0.103104636,0.20802978,-0.26477095,-0.157442,0.6290431,0.24009322,0.84749883,-0.13235167,-0.11505225,-0.13846162,-0.113388404,-0.090888746,-0.86322075,0.0
-0.6876806,0.6910022,-0.7419292,-0.26592192,-0.157442,1.5645189,1.9642516,-0.76886016,-0.1315831,-0.114660695,-0.13736479,-0.11302747,-0.09087157,-0.5901562,0.0
-0.69953716,0.6733179,-0.3958065,-0.24946906,-0.13687341,-0.49382588,0.9405579,-0.8452507,-0.13161479,-0.114673905,-0.13740233,-0.11303993,-0.090872526,-0.8143481,0.0
-0.22436264,0.5043753,0.67417604,-0.14671251,-0.15699431,-0.0077574123,-0.5804629,0.16994022,-0.13175274,-0.11474832,-0.13760594,-0.11310657,-0.09087509,1.5524615,1.0
-0.3328958,0.3260243,0.41183814,-0.2569566,-0.157442,0.9431496,0.35176852,0.8908097,-0.13099863,-0.11436529,-0.13652651,-0.11275145,-0.090857975,-0.49655518,1.0
-0.5590825,0.61070246,0.80730295,-0.2642471,-0.157442,-0.2523637,-0.059708424,1.0231282,-0.13317817,-0.11546932,-0.13964634,-0.113774836,-0.09090248,-1.0071883,0.0
-0.6885927,0.751976,-0.8130972,-0.26592192,-0.157442,1.1501185,1.917315,-0.74674594,-0.1315231,-0.11463116,-0.13727573,-0.11299811,-0.090869956,-0.60595983,0.0
-0.22618674,0.68682617,0.056506764,-0.1485844,-0.157442,-0.01693015,-0.57506645,0.16842617,-0.13190907,-0.11482493,-0.13782564,-0.11317921,-0.09087851,1.516528,1.0
2.2472746,-0.26410538,-0.3614725,-0.26592192,-0.157442,0.5823553,1.6523055,-0.77266824,-0.13150443,-0.11461764,-0.13724294,-0.112987116,-0.090869956,-0.62367314,0.0
-0.53172123,-1.471015,0.09664058,-0.2570551,-0.157442,0.95537996,0.36795777,0.8908097,-0.13139406,-0.11456357,-0.1370882,-0.11293627,-0.090867385,-0.4939885,1.0
2.229946,-1.690875,-0.53055775,-0.256464,-0.157442,-0.43887603,1.0670865,-0.7342665,-0.13156177,-0.11465025,-0.13732971,-0.11301571,-0.09087081,-0.9383303,0.0
-0.3629932,-0.2565307,0.5703719,-0.2658549,-0.15548041,-1.0178633,-0.22516084,1.010603,-0.13329773,-0.11553242,-0.13981064,-0.11383295,-0.09091019,-1.064733,0.0
-0.38944247,-1.4309031,0.69081706,-0.13400342,-0.15162201,0.163467,-0.63037974,0.25940657,-0.1318263,-0.114784375,-0.13770528,-0.11313966,-0.0908768,2.2088547,1.0
-0.69041675,0.79278857,-0.39266536,-0.24655293,-0.14505562,-0.47169426,0.90660894,-0.79556245,-0.13185574,-0.1147988,-0.1377487,-0.113153815,-0.09087766,-0.64619684,0.0
-0.70683354,0.79268247,-0.46922913,-0.2605897,-0.157442,-0.41441542,1.1157861,-0.7320184,-0.13146247,-0.11459708,-0.13718875,-0.11296894,-0.09086886,-0.94714993,0.0
-0.5417537,-0.46573716,0.37999627,-0.25002944,-0.157442,0.66198975,0.19515117,0.9066384,-0.13263518,-0.115194246,-0.13885853,-0.113519184,-0.09089478,-0.6693148,0.0
-0.5563464,0.6855661,0.9238082,-0.26592192,-0.157442,0.3205979,0.118207395,0.96752137,-0.13318379,-0.115476586,-0.13964908,-0.11377995,-0.09090762,-0.95775265,0.0
-0.5609066,0.5009739,0.73427016,-0.26410216,-0.157442,-0.7080863,-0.17984198,1.013218,-0.13327804,-0.11551827,-0.13978444,-0.11381981,-0.09090395,-1.0381044,0.0
-0.5098322,-1.4537948,0.29828838,-0.24050373,-0.157442,0.61293113,0.19797058,0.7615194,-0.13270916,-0.115235,-0.13897002,-0.11355612,-0.090897344,-0.07508024,1.0
-0.2763491,0.5207753,0.5214719,-0.16651507,-0.08088659,-0.31963047,-0.51435673,0.39167917,-0.13110898,-0.11441936,-0.136687,-0.11280391,-0.09086054,0.57820594,1.0
-0.6913288,0.7322069,0.032294806,-0.2479628,-0.15694748,-0.45448342,0.9080634,-0.82446694,-0.13174912,-0.11474204,-0.13759252,-0.11310252,-0.09087548,-0.6560411,0.0
-0.42957237,0.24586886,0.048675593,-0.14690955,-0.1520697,-0.059736256,-0.5791137,0.15415743,-0.13180791,-0.11477537,-0.13768044,-0.11313118,-0.0908768,1.4518209,1.0
-0.55452234,0.6758956,0.28084788,-0.2639555,-0.157442,0.42292526,0.119696155,0.95398676,-0.13294789,-0.11535198,-0.13930385,-0.113666125,-0.09090247,-0.92640835,0.0
-0.26540458,0.6881928,0.011478648,-0.15380597,-0.1158066,-0.2523637,-0.56022626,0.32180363,-0.13145845,-0.11459961,-0.13718563,-0.11296815,-0.0908691,0.7786767,1.0
-0.18788092,0.66085935,0.15439416,-0.13459453,-0.15475585,0.18181248,-0.6236342,0.24137567,-0.1313297,-0.114532016,-0.1369984,-0.112906806,-0.09086567,2.2443829,1.0
-0.33015966,0.3328577,0.30122527,-0.26109445,-0.157442,0.99512845,0.42596927,0.8885616,-0.13121013,-0.11446893,-0.13682455,-0.112849504,-0.09086311,-0.45575857,1.0
2.253659,0.25447887,-2.0529668,1.0317858,-0.11849276,-0.47556698,-0.9838452,-1.1831124,-0.13254362,-0.11514938,-0.13873693,-0.11347944,-0.09089307,-0.4987166,0.0
-0.54631394,0.12358096,0.06592381,-0.26361665,-0.157442,0.84896487,0.37956482,0.85759246,-0.1323376,-0.11504032,-0.13843314,-0.11337928,-0.0908881,-0.7679476,0.0
-0.54631394,0.100897394,0.6173605,-0.26257223,-0.157442,0.8064215,0.35581583,0.8500681,-0.1323387,-0.11504447,-0.13844208,-0.113381855,-0.09088878,-0.7637698,0.0
-0.50618404,-1.4574165,0.9061694,-0.23528215,-0.157442,0.5303765,0.12107161,0.68861574,-0.13304023,-0.11540173,-0.13943808,-0.11371028,-0.09090419,0.002325257,1.0
-0.295502,0.45244163,0.8014299,-0.19045547,0.039095,-0.68042475,-0.43610865,0.5217495,-0.13057558,-0.11414898,-0.1359247,-0.1125529,-0.09084856,0.21360308,1.0
-0.6858565,0.7736099,1.1802541,-0.04425153,-0.157442,1.383441,0.25193477,-1.1214954,-0.13266318,-0.11521247,-0.13890697,-0.11353554,-0.09089564,-0.545322,0.0
-0.26084438,0.6827261,0.03986571,-0.1558749,-0.12655123,-0.20344247,-0.56022626,0.33382425,-0.13137569,-0.114554554,-0.13706335,-0.1129282,-0.09086653,0.86702436,1.0
-0.41589174,-0.6501907,0.043781295,-0.16218019,-0.157442,0.1940428,-0.5372915,0.17521644,-0.13108139,-0.11440584,-0.13664113,-0.112788975,-0.09086054,1.7091637,1.0
-0.5180406,-1.6637841,0.35408455,-0.24799125,-0.157442,0.6985433,0.30320075,0.8758069,-0.13250683,-0.115131356,-0.13868155,-0.113461286,-0.09089221,-0.22057015,1.0
-0.5517862,0.5450173,0.26869708,-0.26592192,-0.157442,0.66106707,0.27148625,0.8425438,-0.13249768,-0.11512574,-0.13867061,-0.113457374,-0.09089242,-0.8640289,0.0
2.2244735,0.67822427,-0.61681265,-0.26102605,-0.15632945,-0.2737668,1.1861687,-0.6700343,-0.13161953,-0.11467636,-0.13741042,-0.11304231,-0.090872526,-1.0523773,0.0
-0.7040974,0.81812644,-0.5846355,-0.26058748,-0.157442,-0.4141616,1.098245,-0.7511504,-0.13162915,-0.11468082,-0.13742197,-0.113046445,-0.09087238,-0.8962613,0.0
-0.3602571,-0.3861324,0.9761335,-0.26514527,-0.157442,-0.5649504,-0.13406728,1.0154662,-0.13303049,-0.115378685,-0.13945247,-0.11368689,-0.09086729,-1.0278647,0.0
-0.36208117,-0.39190337,0.78316265,-0.2638522,-0.157442,-0.9097432,-0.21569866,1.0024362,-0.13318509,-0.11543386,-0.13969314,-0.113737516,-0.09083411,-1.0531354,0.0
-0.35387278,-0.14069475,0.8572257,-0.2637545,-0.157442,0.512031,0.17098849,0.91186875,-0.13249764,-0.115126856,-0.13867007,-0.11345725,-0.09089221,-0.89938796,0.0
